Report : power
	-net
	-cell
	-hier
	-analysis_effort low
	-sort_mode dynamic_power
Design : Processor_3
Version: X-2005.09-SP1
Date   : Tue Dec 11 20:24:08 2007
****************************************


Library(s) Used:

    CORE90GPSVT (File: /cell_libs/cmos090_50a/CORE90GPSVT_SNPS-AVT_2.1/SIGNOFF/bc_1.10V_m40C_wc_0.90V_105C/PT_LIB/CORE90GPSVT_NomLeak.db)
    CORE90GPHVT (File: /cell_libs/cmos090_50a/CORE90GPHVT_SNPS-AVT_2.1.a/SIGNOFF/bc_1.10V_m40C_wc_0.90V_105C/PT_LIB/CORE90GPHVT_NomLeak.db)


Operating Conditions: NomLeak   Library: CORE90GPSVT
Wire Load Model Mode: enclosed

Design        Wire Load Model            Library
csa15bit_27            area_0to1K        CORE90GPSVT
csa15bit_26            area_0to1K        CORE90GPSVT
csa15bit_25            area_0to1K        CORE90GPSVT
csa15bit_24            area_0to1K        CORE90GPSVT
CRA_15_4               area_0to1K        CORE90GPSVT
multiplier_3           area_4Kto5K       CORE90GPSVT
parcial_3              area_0to1K        CORE90GPSVT
csa15bit_23            area_0to1K        CORE90GPSVT
csa15bit_22            area_0to1K        CORE90GPSVT
csa15bit_21            area_0to1K        CORE90GPSVT
csa15bit_20            area_0to1K        CORE90GPSVT
csa15bit_19            area_0to1K        CORE90GPSVT
csa15bit_18            area_0to1K        CORE90GPSVT
CRA_15_3               area_0to1K        CORE90GPSVT
multiplier_2           area_4Kto5K       CORE90GPSVT
parcial_2              area_0to1K        CORE90GPSVT
csa15bit_17            area_0to1K        CORE90GPSVT
csa15bit_16            area_0to1K        CORE90GPSVT
csa15bit_15            area_0to1K        CORE90GPSVT
csa15bit_14            area_0to1K        CORE90GPSVT
csa15bit_13            area_0to1K        CORE90GPSVT
csa15bit_12            area_0to1K        CORE90GPSVT
CRA_15_2               area_0to1K        CORE90GPSVT
multiplier_1           area_4Kto5K       CORE90GPSVT
parcial_1              area_0to1K        CORE90GPSVT
csa15bit_11            area_0to1K        CORE90GPSVT
csa15bit_10            area_0to1K        CORE90GPSVT
csa15bit_9             area_0to1K        CORE90GPSVT
csa15bit_8             area_0to1K        CORE90GPSVT
csa15bit_7             area_0to1K        CORE90GPSVT
csa15bit_6             area_0to1K        CORE90GPSVT
CRA_15_1               area_0to1K        CORE90GPSVT
multiplier_0           area_4Kto5K       CORE90GPSVT
parcial_0              area_0to1K        CORE90GPSVT
csa15bit_5             area_0to1K        CORE90GPSVT
csa15bit_4             area_0to1K        CORE90GPSVT
csa15bit_3             area_0to1K        CORE90GPSVT
csa15bit_2             area_0to1K        CORE90GPSVT
csa15bit_1             area_0to1K        CORE90GPSVT
csa15bit_0             area_0to1K        CORE90GPSVT
CRA_15_0               area_0to1K        CORE90GPSVT
ADDER_3_2              area_0to1K        CORE90GPSVT
ADDER_3_2_DW01_add_3   area_0to1K        CORE90GPSVT
ADDER_3_2_DW01_add_1   area_0to1K        CORE90GPSVT
ADDER_3_1              area_0to1K        CORE90GPSVT
ADDER_3_1_DW01_add_3   area_0to1K        CORE90GPSVT
ADDER_3_1_DW01_add_1   area_0to1K        CORE90GPSVT
ADDER_3_0              area_0to1K        CORE90GPSVT
ADDER_3_0_DW01_add_3   area_0to1K        CORE90GPSVT
ADDER_3_0_DW01_add_0   area_0to1K        CORE90GPSVT
MUX_4                  area_0to1K        CORE90GPSVT
ADDER_2                area_0to1K        CORE90GPSVT
ADDER_2_DW01_add_0     area_0to1K        CORE90GPSVT
REG                    area_0to1K        CORE90GPSVT


Global Operating Voltage = 1    
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000pf
    Time Units = 1ns
    Dynamic Power Units = 1mW    (derived from V,C,T units)
    Leakage Power Units = 1pW



  Attributes
  ----------
      a  -  Switching activity information annotated on net
      d  -  Default switching activity information on net

                             Total      Static   Toggle   Switching
Net                          Net Load   Prob.    Rate     Power      Attrs
--------------------------------------------------------------------------------
disable_to_cache               0.293    0.760    0.0800      0.0117  a
cache_bits[25]                 0.050    0.477    0.0596      0.0015  a
cache_bits[57]                 0.047    0.477    0.0596      0.0014  a
cache_bits[48]                 0.044    0.477    0.0600      0.0013  a
cache_bits[17]                 0.043    0.477    0.0596      0.0013  a
cache_bits[8]                  0.043    0.477    0.0600      0.0013  a
cache_bits[9]                  0.043    0.477    0.0596      0.0013  a
cache_bits[41]                 0.043    0.477    0.0596      0.0013  a
cache_bits[1]                  0.042    0.477    0.0596      0.0013  a
cache_bits[49]                 0.042    0.477    0.0596      0.0012  a
cache_bits[32]                 0.040    0.477    0.0600      0.0012  a
cache_bits[33]                 0.040    0.477    0.0596      0.0012  a
cache_bits[56]                 0.039    0.477    0.0600      0.0012  a
cache_bits[42]                 0.041    0.481    0.0551      0.0011  a
cache_bits[66]                 0.040    0.481    0.0551      0.0011  a
cache_bits[50]                 0.040    0.482    0.0551      0.0011  a
cache_bits[18]                 0.039    0.481    0.0551      0.0011  a
cache_bits[34]                 0.039    0.481    0.0551      0.0011  a
cache_bits[26]                 0.037    0.482    0.0551      0.0010  a
cache_bits[58]                 0.037    0.481    0.0551      0.0010  a
cache_bits[10]                 0.037    0.481    0.0551      0.0010  a
cache_bits[43]                 0.043    0.499    0.0462      0.0010  a
cache_bits[2]                  0.036    0.482    0.0551      0.0010  a
cache_bits[59]                 0.041    0.499    0.0462      0.0009  a
cache_bits[19]                 0.040    0.499    0.0462      0.0009  a
cache_bits[51]                 0.039    0.499    0.0462      0.0009  a
cache_bits[67]                 0.039    0.499    0.0462      0.0009  a
cache_bits[11]                 0.039    0.499    0.0462      0.0009  a
cache_bits[27]                 0.036    0.499    0.0462      0.0008  a
cache_bits[35]                 0.036    0.499    0.0462      0.0008  a
cache_bits[3]                  0.036    0.499    0.0462      0.0008  a
cache_bits[16]                 0.018    0.477    0.0600      0.0005  a
cache_bits[44]                 0.045    0.486    0.0357      0.0008  a
cache_bits[64]                 0.018    0.477    0.0600      0.0005  a
Data_out[0]                    0.002    0.678    0.0752   8.185e-05  a
cache_bits[40]                 0.014    0.477    0.0600      0.0004  a
cache_bits[20]                 0.043    0.486    0.0357      0.0008  a
cache_bits[52]                 0.041    0.486    0.0357      0.0007  a
cache_bits[68]                 0.041    0.486    0.0357      0.0007  a
cache_bits[0]                  0.014    0.477    0.0600      0.0004  a
Data_out[1]                    0.002    0.711    0.0718   7.814e-05  a
cache_bits[28]                 0.038    0.486    0.0357      0.0007  a
cache_bits[36]                 0.038    0.486    0.0357      0.0007  a
cache_bits[60]                 0.037    0.486    0.0357      0.0007  a
cache_bits[24]                 0.009    0.477    0.0600      0.0003  a
cache_bits[12]                 0.036    0.486    0.0357      0.0006  a
cache_bits[65]                 0.009    0.477    0.0596      0.0003  a
cache_bits[4]                  0.035    0.486    0.0357      0.0006  a
Data_out[3]                    0.002    0.736    0.0628   6.836e-05  a
cache_bits[45]                 0.040    0.470    0.0260      0.0005  a
cache_bits[69]                 0.040    0.470    0.0260      0.0005  a
cache_bits[29]                 0.039    0.470    0.0260      0.0005  a
cache_bits[21]                 0.039    0.470    0.0260      0.0005  a
cache_bits[53]                 0.039    0.470    0.0260      0.0005  a
Data_out[2]                    0.002    0.730    0.0686   7.464e-05  a
cache_bits[61]                 0.037    0.470    0.0260      0.0005  a
cache_bits[13]                 0.038    0.470    0.0260      0.0005  a
cache_bits[37]                 0.037    0.470    0.0260      0.0005  a
cache_bits[5]                  0.034    0.470    0.0260      0.0004  a
Data_out[4]                    0.002    0.736    0.0565   6.150e-05  a
Data_out[5]                    0.002    0.738    0.0508   5.530e-05  a
cache_bits[14]                 0.037    0.435    0.0148      0.0003  a
cache_bits[70]                 0.037    0.435    0.0148      0.0003  a
cache_bits[62]                 0.037    0.435    0.0148      0.0003  a
cache_bits[54]                 0.037    0.436    0.0148      0.0003  a
cache_bits[46]                 0.037    0.435    0.0148      0.0003  a
cache_bits[22]                 0.037    0.435    0.0148      0.0003  a
cache_bits[38]                 0.037    0.435    0.0148      0.0003  a
cache_bits[30]                 0.037    0.436    0.0148      0.0003  a
cache_bits[6]                  0.034    0.436    0.0148      0.0002  a
Data_out[6]                    0.002    0.743    0.0429   4.666e-05  a
cache_bits[15]                 0.037    0.332    0.0072      0.0001  a
cache_bits[47]                 0.037    0.331    0.0072      0.0001  a
Data_out[7]                    0.002    0.723    0.0277   3.016e-05  a
cache_bits[39]                 0.037    0.332    0.0072      0.0001  a
cache_bits[71]                 0.037    0.331    0.0072      0.0001  a
cache_bits[31]                 0.037    0.331    0.0072      0.0001  a
cache_bits[55]                 0.037    0.331    0.0072      0.0001  a
cache_bits[63]                 0.037    0.332    0.0072      0.0001  a
cache_bits[23]                 0.037    0.331    0.0072      0.0001  a
cache_bits[7]                  0.035    0.331    0.0072      0.0001  a
filter_bits[48]                0.018    0.000    0.12e-5  1.094e-08  a
filter_bits[2]                 0.014    0.000    0.0000      0.0000  a
filter_bits[4]                 0.014    0.000    0.0000      0.0000  a
filter_bits[11]                0.018    0.000    0.0000      0.0000  a
filter_bits[12]                0.018    0.000    0.0000      0.0000  a
filter_bits[14]                0.018    0.000    0.0000      0.0000  a
filter_bits[23]                0.018    0.000    0.0000      0.0000  a
filter_bits[25]                0.018    0.000    0.0000      0.0000  a
filter_bits[29]                0.018    0.000    0.0000      0.0000  a
filter_bits[43]                0.018    0.000    0.0000      0.0000  a
filter_bits[44]                0.018    0.000    0.0000      0.0000  a
filter_bits[46]                0.018    0.000    0.0000      0.0000  a
filter_bits[52]                0.018    0.000    0.0000      0.0000  a
filter_bits[54]                0.018    0.000    0.0000      0.0000  a
filter_bits[59]                0.018    0.000    0.0000      0.0000  a
filter_bits[60]                0.018    0.000    0.0000      0.0000  a
filter_bits[61]                0.018    0.000    0.0000      0.0000  a
filter_bits[62]                0.018    0.000    0.0000      0.0000  a
filter_bits[63]                0.018    0.000    0.0000      0.0000  a
filter_bits[66]                0.018    0.000    0.0000      0.0000  a
filter_bits[67]                0.018    0.000    0.0000      0.0000  a
filter_bits[68]                0.018    0.000    0.0000      0.0000  a
filter_bits[69]                0.018    0.000    0.0000      0.0000  a
filter_bits[70]                0.018    0.000    0.0000      0.0000  a
filter_bits[32]                0.018    1.000    0.92e-6  8.204e-09  a
filter_bits[8]                 0.018    1.000    0.31e-6  2.721e-09  a
filter_bits[64]                0.022    0.000    0.18e-5  2.035e-08  a
filter_bits[40]                0.022    0.000    0.12e-5  1.362e-08  a
filter_bits[16]                0.028    0.000    0.61e-6  8.604e-09  a
filter_bits[24]                0.022    0.000    0.61e-6  6.810e-09  a
filter_bits[0]                 0.030    0.000    0.0000      0.0000  a
filter_bits[1]                 0.019    0.000    0.0000      0.0000  a
filter_bits[3]                 0.014    0.000    0.0000      0.0000  a
filter_bits[5]                 0.014    0.000    0.0000      0.0000  a
filter_bits[6]                 0.014    0.000    0.0000      0.0000  a
filter_bits[7]                 0.018    0.000    0.0000      0.0000  a
filter_bits[9]                 0.018    0.000    0.0000      0.0000  a
filter_bits[10]                0.018    0.000    0.0000      0.0000  a
filter_bits[13]                0.018    0.000    0.0000      0.0000  a
filter_bits[15]                0.018    0.000    0.0000      0.0000  a
filter_bits[17]                0.023    0.000    0.0000      0.0000  a
filter_bits[18]                0.018    0.000    0.0000      0.0000  a
filter_bits[19]                0.018    0.000    0.0000      0.0000  a
filter_bits[20]                0.018    0.000    0.0000      0.0000  a
filter_bits[21]                0.018    0.000    0.0000      0.0000  a
filter_bits[22]                0.018    0.000    0.0000      0.0000  a
filter_bits[26]                0.018    0.000    0.0000      0.0000  a
filter_bits[27]                0.018    0.000    0.0000      0.0000  a
filter_bits[28]                0.018    0.000    0.0000      0.0000  a
filter_bits[30]                0.018    0.000    0.0000      0.0000  a
filter_bits[31]                0.018    0.000    0.0000      0.0000  a
filter_bits[33]                0.018    0.000    0.0000      0.0000  a
filter_bits[34]                0.018    0.000    0.0000      0.0000  a
filter_bits[35]                0.018    0.000    0.0000      0.0000  a
filter_bits[36]                0.018    0.000    0.0000      0.0000  a
filter_bits[37]                0.018    0.000    0.0000      0.0000  a
filter_bits[38]                0.018    0.000    0.0000      0.0000  a
filter_bits[39]                0.018    0.000    0.0000      0.0000  a
filter_bits[41]                0.018    0.000    0.0000      0.0000  a
filter_bits[42]                0.018    0.000    0.0000      0.0000  a
filter_bits[45]                0.018    0.000    0.0000      0.0000  a
filter_bits[47]                0.022    0.000    0.0000      0.0000  a
filter_bits[49]                0.018    0.000    0.0000      0.0000  a
filter_bits[50]                0.014    0.000    0.0000      0.0000  a
filter_bits[51]                0.018    0.000    0.0000      0.0000  a
filter_bits[53]                0.018    0.000    0.0000      0.0000  a
filter_bits[55]                0.018    0.000    0.0000      0.0000  a
filter_bits[57]                0.018    0.000    0.0000      0.0000  a
filter_bits[58]                0.018    0.000    0.0000      0.0000  a
filter_bits[65]                0.026    0.000    0.0000      0.0000  a
filter_bits[71]                0.018    0.000    0.0000      0.0000  a
filter_bits[56]                0.022    1.000    0.15e-5  1.702e-08  a
mux_out[1]                     0.016    0.477    0.0988      0.0008  a
mux_out[0]                     0.011    0.477    0.0998      0.0006  a
mux_out[2]                     0.016    0.482    0.0904      0.0007  a
mux_out[3]                     0.016    0.499    0.0750      0.0006  a
select_adder[0]                0.013    0.278    0.0794      0.0005  a
mux_out[4]                     0.016    0.486    0.0576      0.0005  a
Read_In_Mem                    0.002    0.240    0.0800   8.700e-05  a
mux_out[5]                     0.016    0.470    0.0419      0.0003  a
Read_Out_Mem                   0.002    0.238    0.2381      0.0003  a
Read_Addr_Out_Mem[3]           0.002    0.120    0.1198      0.0001  a
mult2_out[1]                   0.015    0.477    0.0596      0.0004  a
select_adder[1]                0.014    0.524    0.0794      0.0006  a
Write_Out_Mem                  0.002    0.278    0.2381      0.0003  a
mult5_out[1]                   0.015    0.477    0.0596      0.0004  a
mult8_out[1]                   0.015    0.477    0.0596      0.0004  a
mux_out[6]                     0.016    0.436    0.0234      0.0002  a
add3_out[1]                    0.009    0.477    0.0596      0.0003  a
Read_Addr_Out_Mem[4]           0.002    0.120    0.1198      0.0001  a
mult5_out[0]                   0.011    0.477    0.0600      0.0003  a
mult2_out[3]                   0.015    0.499    0.0462      0.0003  a
add2_out[1]                    0.010    0.477    0.0596      0.0003  a
Write_Addr_Out_Mem[0]          0.002    0.139    0.1392      0.0002  a
Read_Addr_Out_Mem[2]           0.002    0.120    0.1198      0.0001  a
Read_Addr_Out_Mem[5]           0.002    0.120    0.1198      0.0001  a
Read_Addr_Out_Mem[6]           0.002    0.120    0.1198      0.0001  a
Read_Addr_Out_Mem[7]           0.002    0.120    0.1198      0.0001  a
Read_Addr_Out_Mem[1]           0.002    0.120    0.1196      0.0001  a
Read_Addr_Out_Mem[9]           0.002    0.119    0.1190      0.0001  a
Read_Addr_Out_Mem[10]          0.002    0.119    0.1190      0.0001  a
Read_Addr_Out_Mem[11]          0.002    0.119    0.1190      0.0001  a
Read_Addr_Out_Mem[12]          0.002    0.119    0.1190      0.0001  a
Read_Addr_Out_Mem[13]          0.002    0.119    0.1190      0.0001  a
Read_Addr_Out_Mem[14]          0.002    0.119    0.1190      0.0001  a
Read_Addr_Out_Mem[15]          0.002    0.119    0.1190      0.0001  a
Read_Addr_Out_Mem[0]           0.002    0.119    0.1190      0.0001  a
Read_Addr_Out_Mem[8]           0.002    0.119    0.1190      0.0001  a
add1_out[1]                    0.009    0.477    0.0596      0.0003  a
Write_Addr_Out_Mem[1]          0.002    0.140    0.1297      0.0001  a
add2_out[2]                    0.010    0.481    0.0551      0.0003  a
Read_Addr_In_Mem[8]            0.002    0.180    0.0801   8.717e-05  a
Write_Addr_Out_Mem[2]          0.002    0.140    0.1248      0.0001  a
add3_out[2]                    0.009    0.481    0.0551      0.0003  a
Write_Addr_Out_Mem[3]          0.002    0.140    0.1223      0.0001  a
Write_Addr_Out_Mem[4]          0.002    0.140    0.1211      0.0001  a
Write_Addr_Out_Mem[5]          0.002    0.140    0.1204      0.0001  a
Write_Addr_Out_Mem[6]          0.002    0.140    0.1201      0.0001  a
Write_Addr_Out_Mem[7]          0.002    0.140    0.1200      0.0001  a
Write_Addr_Out_Mem[10]         0.002    0.139    0.1189      0.0001  a
Write_Addr_Out_Mem[9]          0.002    0.139    0.1189      0.0001  a
Write_Addr_Out_Mem[8]          0.002    0.139    0.1189      0.0001  a
add4_out[4]                    0.004    0.736    0.0565      0.0001  a
mult8_out[0]                   0.011    0.477    0.0600      0.0003  a
mult2_out[2]                   0.015    0.481    0.0551      0.0004  a
mult5_out[2]                   0.015    0.481    0.0551      0.0004  a
mult8_out[2]                   0.015    0.481    0.0551      0.0004  a
Read_Addr_In_Mem[1]            0.002    0.180    0.0701   7.621e-05  a
mult8_out[4]                   0.015    0.486    0.0357      0.0003  a
mult2_out[0]                   0.011    0.477    0.0600      0.0003  a
add3_out[3]                    0.009    0.499    0.0462      0.0002  a
Write_Addr_Out_Mem[11]         0.002    0.139    0.1189      0.0001  a
Write_Addr_Out_Mem[12]         0.002    0.139    0.1189      0.0001  a
Write_Addr_Out_Mem[13]         0.002    0.139    0.1189      0.0001  a
Write_Addr_Out_Mem[14]         0.002    0.139    0.1189      0.0001  a
Write_Addr_Out_Mem[15]         0.002    0.139    0.1189      0.0001  a
add2_out[0]                    0.010    0.477    0.0600      0.0003  a
add3_out[0]                    0.009    0.477    0.0600      0.0003  a
Read_Addr_In_Mem[0]            0.002    0.180    0.1001      0.0001  a
add1_out[0]                    0.009    0.477    0.0600      0.0003  a
mult5_out[3]                   0.015    0.499    0.0462      0.0003  a
mult8_out[3]                   0.015    0.499    0.0462      0.0003  a
mux_out[7]                     0.016    0.331    0.0113   8.954e-05  a
add1_out[2]                    0.009    0.481    0.0551      0.0003  a
add4_out[2]                    0.004    0.730    0.0686      0.0001  a
Read_Addr_In_Mem[2]            0.002    0.181    0.0551   5.994e-05  a
add4_out[6]                    0.004    0.743    0.0429   8.763e-05  a
Read_Addr_In_Mem[11]           0.002    0.180    0.0449   4.883e-05  a
add2_out[4]                    0.010    0.486    0.0357      0.0002  a
add3_out[4]                    0.009    0.486    0.0357      0.0002  a
mult8_out[5]                   0.015    0.470    0.0260      0.0002  a
add2_out[3]                    0.010    0.499    0.0462      0.0002  a
add1_out[3]                    0.009    0.499    0.0462      0.0002  a
add4_out[0]                    0.004    0.678    0.0752      0.0002  a
Read_Addr_In_Mem[6]            0.002    0.181    0.0409   4.453e-05  a
add4_out[5]                    0.004    0.738    0.0508      0.0001  a
Read_Addr_In_Mem[7]            0.002    0.181    0.0405   4.401e-05  a
add4_out[1]                    0.004    0.711    0.0718      0.0002  a
add4_out[7]                    0.004    0.723    0.0277   5.664e-05  a
Read_Addr_In_Mem[9]            0.002    0.180    0.0601   6.534e-05  a
add1_out[4]                    0.009    0.486    0.0357      0.0002  a
add4_out[3]                    0.004    0.736    0.0628      0.0001  a
mult5_out[4]                   0.015    0.486    0.0357      0.0003  a
mult2_out[4]                   0.015    0.486    0.0357      0.0003  a
Read_Addr_In_Mem[10]           0.002    0.180    0.0499   5.433e-05  a
Read_Addr_In_Mem[12]           0.002    0.180    0.0424   4.608e-05  a
Read_Addr_In_Mem[13]           0.002    0.180    0.0411   4.471e-05  a
Read_Addr_In_Mem[3]            0.002    0.181    0.0475   5.172e-05  a
Read_Addr_In_Mem[14]           0.002    0.180    0.0405   4.402e-05  a
Read_Addr_In_Mem[15]           0.002    0.180    0.0401   4.367e-05  a
add2_out[5]                    0.010    0.470    0.0260      0.0001  a
mult8_out[6]                   0.015    0.435    0.0148      0.0001  a
Read_Addr_In_Mem[4]            0.002    0.181    0.0438   4.761e-05  a
add3_out[5]                    0.009    0.470    0.0260      0.0001  a
add1_out[5]                    0.009    0.470    0.0260      0.0001  a
Read_Addr_In_Mem[5]            0.002    0.181    0.0419   4.556e-05  a
mult2_out[5]                   0.015    0.470    0.0260      0.0002  a
mult5_out[5]                   0.015    0.470    0.0260      0.0002  a
add2_out[6]                    0.010    0.435    0.0148   7.630e-05  a
add1_out[6]                    0.009    0.435    0.0148   6.772e-05  a
add3_out[6]                    0.009    0.435    0.0148   6.766e-05  a
mult2_out[7]                   0.015    0.332    0.0072   5.328e-05  a
mult5_out[6]                   0.015    0.435    0.0148      0.0001  a
mult2_out[6]                   0.015    0.435    0.0148      0.0001  a
mult8_out[7]                   0.015    0.332    0.0072   5.328e-05  a
mult5_out[7]                   0.015    0.332    0.0072   5.328e-05  a
add2_out[7]                    0.010    0.332    0.0072   3.704e-05  a
add1_out[7]                    0.009    0.332    0.0072   3.288e-05  a
add3_out[7]                    0.009    0.332    0.0072   3.284e-05  a
Write_In_Mem                   0.002    0.040    0.61e-6  6.690e-10  a
mult1_out[0]                   0.011    0.000    0.0000      0.0000  a
mult1_out[1]                   0.015    0.000    0.0000      0.0000  a
mult1_out[2]                   0.015    0.000    0.0000      0.0000  a
mult1_out[3]                   0.015    0.000    0.0000      0.0000  a
mult1_out[4]                   0.015    0.000    0.0000      0.0000  a
mult1_out[5]                   0.015    0.000    0.0000      0.0000  a
mult1_out[6]                   0.015    0.000    0.0000      0.0000  a
mult1_out[7]                   0.015    0.000    0.0000      0.0000  a
mult3_out[0]                   0.011    0.000    0.0000      0.0000  a
mult3_out[1]                   0.016    0.000    0.0000      0.0000  a
mult3_out[2]                   0.016    0.000    0.0000      0.0000  a
mult3_out[3]                   0.016    0.000    0.0000      0.0000  a
mult3_out[4]                   0.016    0.000    0.0000      0.0000  a
mult3_out[5]                   0.016    0.000    0.0000      0.0000  a
mult3_out[6]                   0.016    0.000    0.0000      0.0000  a
mult3_out[7]                   0.016    0.000    0.0000      0.0000  a
mult4_out[0]                   0.011    0.000    0.0000      0.0000  a
mult4_out[1]                   0.016    0.000    0.0000      0.0000  a
mult4_out[2]                   0.016    0.000    0.0000      0.0000  a
mult4_out[3]                   0.016    0.000    0.0000      0.0000  a
mult4_out[4]                   0.016    0.000    0.0000      0.0000  a
mult4_out[5]                   0.016    0.000    0.0000      0.0000  a
mult4_out[6]                   0.016    0.000    0.0000      0.0000  a
mult4_out[7]                   0.016    0.000    0.0000      0.0000  a
mult6_out[0]                   0.011    0.000    0.0000      0.0000  a
mult6_out[1]                   0.015    0.000    0.0000      0.0000  a
mult6_out[2]                   0.015    0.000    0.0000      0.0000  a
mult6_out[3]                   0.015    0.000    0.0000      0.0000  a
mult6_out[4]                   0.015    0.000    0.0000      0.0000  a
mult6_out[5]                   0.015    0.000    0.0000      0.0000  a
mult6_out[6]                   0.015    0.000    0.0000      0.0000  a
mult6_out[7]                   0.015    0.000    0.0000      0.0000  a
mult7_out[0]                   0.011    0.000    0.0000      0.0000  a
mult7_out[1]                   0.016    0.000    0.0000      0.0000  a
mult7_out[2]                   0.016    0.000    0.0000      0.0000  a
mult7_out[3]                   0.016    0.000    0.0000      0.0000  a
mult7_out[4]                   0.016    0.000    0.0000      0.0000  a
mult7_out[5]                   0.016    0.000    0.0000      0.0000  a
mult7_out[6]                   0.016    0.000    0.0000      0.0000  a
mult7_out[7]                   0.016    0.000    0.0000      0.0000  a
mult9_out[0]                   0.011    0.000    0.0000      0.0000  a
mult9_out[1]                   0.015    0.000    0.0000      0.0000  a
mult9_out[2]                   0.015    0.000    0.0000      0.0000  a
mult9_out[3]                   0.015    0.000    0.0000      0.0000  a
mult9_out[4]                   0.015    0.000    0.0000      0.0000  a
mult9_out[5]                   0.015    0.000    0.0000      0.0000  a
mult9_out[6]                   0.015    0.000    0.0000      0.0000  a
mult9_out[7]                   0.015    0.000    0.0000      0.0000  a
--------------------------------------------------------------------------------
Total (319 nets)                                            84.3663 uW



  Attributes
  ----------
      h  -  Hierarchical cell


                        Cell      Driven Net  Tot Dynamic      Cell
                        Internal  Switching   Power            Leakage
Cell                    Power     Power       (% Cell/Tot)     Power      Attrs
--------------------------------------------------------------------------------
Add1                    6.614e-03       N/A        N/A (N/A)   1147955.6250
                                                                          h
Add2                    7.002e-03       N/A        N/A (N/A)   1171446.5000
                                                                          h
