****************************************
Report : power
	-net
	-cell
	-hier
	-analysis_effort low
	-sort_mode dynamic_power
Design : divr4_rec
Version: X-2005.09-SP1
Date   : Wed Nov 21 16:48:22 2007
****************************************




Library(s) Used:

    CORE90GPHVT (File: /cell_libs/cmos090_50a/CORE90GPHVT_SNPS-AVT_2.1.a/SIGNOFF/bc_1.10V_m40C_wc_0.90V_105C/PT_LIB/CORE90GPHVT_NomLeak.db)
    CORE90GPSVT (File: /cell_libs/cmos090_50a/CORE90GPSVT_SNPS-AVT_2.1/SIGNOFF/bc_1.10V_m40C_wc_0.90V_105C/PT_LIB/CORE90GPSVT_NomLeak.db)




Operating Conditions: NomLeak   Library: CORE90GPSVT
Wire Load Model Mode: enclosed

Design        Wire Load Model            Library
------------------------------------------------
divr4_rec              area_6Kto12K      CORE90GPSVT
CONTROL                area_0to1K        CORE90GPSVT
CONTROL_DW01_inc_0     area_0to1K        CORE90GPSVT
MUX                    area_0to1K        CORE90GPSVT
MULT                   area_2Kto3K       CORE90GPSVT
gl_csa32_n8            area_0to1K        CORE90GPSVT
csa32LSBs_n47          area_1Kto2K       CORE90GPSVT
gl_dualreg_ld_n10      area_1Kto2K       CORE90GPSVT
gl_dualreg_ld_n45      area_3Kto4K       CORE90GPSVT
QDSEL                  area_0to1K        CORE90GPSVT
QDS_TABLE              area_0to1K        CORE90GPSVT
QDS_ADDER              area_0to1K        CORE90GPSVT




Global Operating Voltage = 1    
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000pf
    Time Units = 1ns
    Dynamic Power Units = 1mW    (derived from V,C,T units)
    Leakage Power Units = 1pW





  Attributes
  ----------
      a  -  Switching activity information annotated on net
      d  -  Default switching activity information on net


                             Total      Static   Toggle   Switching
Net                          Net Load   Prob.    Rate     Power      Attrs
--------------------------------------------------------------------------------
LOAD                           0.764    0.939    0.0121      0.0046  a
W1[53]                         0.058    0.462    0.0446      0.0013  a
W1[52]                         0.047    0.455    0.0456      0.0011  a
W2[55]                         0.063    0.335    0.0387      0.0012  a
W2[53]                         0.057    0.347    0.0391      0.0011  a
W1[54]                         0.057    0.432    0.0438      0.0012  a
W1[55]                         0.056    0.543    0.0443      0.0012  a
W2[24]                         0.047    0.320    0.0376      0.0009  a
W2[52]                         0.041    0.320    0.0398      0.0008  a
W2[18]                         0.044    0.326    0.0382      0.0008  a
W2[54]                         0.055    0.355    0.0381      0.0011  a
W2[51]                         0.036    0.320    0.0403      0.0007  a
W2[10]                         0.044    0.271    0.0362      0.0008  a
W2[22]                         0.045    0.324    0.0380      0.0009  a
W1[45]                         0.032    0.446    0.0460      0.0007  a
W1[10]                         0.032    0.486    0.0458      0.0007  a
W1[15]                         0.032    0.457    0.0456      0.0007  a
W1[19]                         0.032    0.468    0.0452      0.0007  a
W1[21]                         0.032    0.482    0.0449      0.0007  a
WS[37]                         0.028    0.478    0.0465      0.0007  a
W1[39]                         0.032    0.495    0.0444      0.0007  a
W1[30]                         0.032    0.443    0.0443      0.0007  a
W1[13]                         0.032    0.480    0.0443      0.0007  a
W1[11]                         0.032    0.489    0.0440      0.0007  a
W1[17]                         0.032    0.473    0.0441      0.0007  a
W1[33]                         0.032    0.456    0.0438      0.0007  a
W1[3]                          0.032    0.447    0.0436      0.0007  a
W2[25]                         0.042    0.307    0.0367      0.0008  a
W2[16]                         0.028    0.299    0.0375      0.0005  a
W2[41]                         0.023    0.314    0.0396      0.0005  a
W2[33]                         0.025    0.322    0.0383      0.0005  a
W1[56]                         0.039    0.612    0.0379      0.0007  a
W2[32]                         0.023    0.304    0.0386      0.0004  a
W2[3]                          0.025    0.322    0.0446      0.0006  a
Qj[0]                          0.136    0.129    0.0240      0.0016  a
W1[50]                         0.024    0.459    0.0457      0.0005  a
W2[43]                         0.030    0.317    0.0390      0.0006  a
W2[21]                         0.030    0.317    0.0386      0.0006  a
W2[13]                         0.020    0.324    0.0374      0.0004  a
W2[28]                         0.018    0.302    0.0385      0.0004  a
W2[11]                         0.023    0.271    0.0357      0.0004  a
W2[37]                         0.028    0.309    0.0398      0.0006  a
W2[7]                          0.044    0.222    0.0307      0.0007  a
W2[35]                         0.025    0.357    0.0403      0.0005  a
W2[47]                         0.028    0.309    0.0384      0.0005  a
W2[19]                         0.028    0.347    0.0383      0.0005  a
W2[0]                          0.017    0.332    0.0462      0.0004  a
W2[31]                         0.028    0.343    0.0381      0.0005  a
W2[38]                         0.025    0.360    0.0395      0.0005  a
W2[6]                          0.023    0.330    0.0416      0.0005  a
W2[29]                         0.023    0.320    0.0406      0.0005  a
W2[36]                         0.025    0.346    0.0388      0.0005  a
W2[17]                         0.025    0.340    0.0385      0.0005  a
W2[9]                          0.023    0.316    0.0401      0.0005  a
W2[30]                         0.023    0.342    0.0403      0.0005  a
W2[40]                         0.025    0.314    0.0380      0.0005  a
W2[48]                         0.023    0.353    0.0397      0.0005  a
W2[42]                         0.023    0.326    0.0393      0.0004  a
W2[23]                         0.025    0.336    0.0372      0.0005  a
WS[56]                         0.015    0.650    0.0388      0.0003  a
W2[46]                         0.023    0.357    0.0387      0.0004  a
WS[29]                         0.011    0.474    0.0463      0.0002  a
W1[2]                          0.013    0.345    0.0462      0.0003  a
W2[49]                         0.021    0.323    0.0389      0.0004  a
W1[49]                         0.013    0.481    0.0462      0.0003  a
W1[14]                         0.013    0.453    0.0463      0.0003  a
W2[27]                         0.021    0.323    0.0388      0.0004  a
W1[28]                         0.013    0.490    0.0457      0.0003  a
W2[20]                         0.020    0.303    0.0385      0.0004  a
W1[38]                         0.013    0.489    0.0456      0.0003  a
W2[26]                         0.023    0.300    0.0364      0.0004  a
W1[27]                         0.013    0.480    0.0458      0.0003  a
W1[12]                         0.013    0.458    0.0452      0.0003  a
W1[48]                         0.013    0.487    0.0452      0.0003  a
W1[47]                         0.013    0.451    0.0449      0.0003  a
W1[29]                         0.015    0.442    0.0446      0.0003  a
W1[37]                         0.013    0.450    0.0448      0.0003  a
W1[32]                         0.013    0.489    0.0451      0.0003  a
W1[44]                         0.013    0.451    0.0449      0.0003  a
W1[22]                         0.013    0.459    0.0448      0.0003  a
W1[18]                         0.013    0.443    0.0447      0.0003  a
W2[12]                         0.018    0.309    0.0393      0.0004  a
W1[8]                          0.013    0.471    0.0445      0.0003  a
W1[9]                          0.015    0.478    0.0444      0.0003  a
W2[44]                         0.018    0.337    0.0387      0.0004  a
W1[23]                         0.013    0.481    0.0441      0.0003  a
W2[14]                         0.020    0.306    0.0367      0.0004  a
WS[1]                          0.004    0.414    0.0477   9.500e-05  a
W2[45]                         0.017    0.363    0.0390      0.0003  a
W1[24]                         0.015    0.512    0.0433      0.0003  a
W2[15]                         0.018    0.345    0.0381      0.0003  a
W2[39]                         0.018    0.310    0.0376      0.0003  a
W2[56]                         0.022    0.274    0.0349      0.0004  a
W2[34]                         0.018    0.312    0.0379      0.0003  a
W1[7]                          0.010    0.469    0.0454      0.0002  a
W1[41]                         0.013    0.479    0.0452      0.0003  a
W1[31]                         0.010    0.488    0.0451      0.0002  a
W1[16]                         0.013    0.455    0.0449      0.0003  a
W1[20]                         0.010    0.484    0.0451      0.0002  a
WS[28]                         0.009    0.515    0.0475      0.0002  a
W1[6]                          0.013    0.473    0.0443      0.0003  a
W1[34]                         0.008    0.447    0.0463      0.0002  a
W1[46]                         0.010    0.460    0.0441      0.0002  a
W1[5]                          0.013    0.418    0.0438      0.0003  a
W1[1]                          0.007    0.377    0.0462      0.0002  a
WS[47]                         0.028    0.477    0.0464      0.0007  a
W1[35]                         0.008    0.458    0.0452      0.0002  a
W1[0]                          0.007    0.332    0.0462      0.0002  a
W1[36]                         0.008    0.457    0.0449      0.0002  a
W1[26]                         0.008    0.481    0.0444      0.0002  a
W1[42]                         0.008    0.498    0.0440      0.0002  a
W1[40]                         0.008    0.504    0.0443      0.0002  a
W1[43]                         0.008    0.467    0.0441      0.0002  a
W1[25]                         0.008    0.474    0.0435      0.0002  a
W1[4]                          0.007    0.447    0.0440      0.0002  a
WS[52]                         0.011    0.491    0.0468      0.0002  a
muxW                           0.243    0.121    0.0061      0.0007  a
W2[8]                          0.020    0.204    0.0293      0.0003  a
WS[24]                         0.011    0.543    0.0448      0.0002  a
WC[46]                         0.028    0.340    0.0400      0.0006  a
WS[4]                          0.004    0.479    0.0456   9.084e-05  a
W2[5]                          0.025    0.145    0.0199      0.0003  a
qjD[56]                        0.011    0.385    0.0438      0.0002  a
WS[19]                         0.015    0.489    0.0468      0.0003  a
WS[14]                         0.015    0.507    0.0473      0.0003  a
qjD[53]                        0.020    0.343    0.0427      0.0004  a
W2[4]                          0.021    0.132    0.0168      0.0002  a
qjD[34]                        0.016    0.387    0.0442      0.0004  a
CLR                            0.502    0.970    0.0060      0.0015  a
WS[32]                         0.028    0.492    0.0464      0.0007  a
WC[30]                         0.028    0.352    0.0415      0.0006  a
WS[22]                         0.028    0.510    0.0459      0.0007  a
Qj[1]                          0.068    0.214    0.0312      0.0011  a
WS[55]                         0.028    0.529    0.0458      0.0006  a
WS[7]                          0.028    0.501    0.0466      0.0007  a
WS[51]                         0.028    0.487    0.0466      0.0007  a
